ACTINIUM	89	Ac	112	171	250
4S	0	0	0.05847	0.04571	
5S	0	0	0.01784	0.01345	
6S	0	0.201	0.003725	0.002728	
4P	0	0	0.1954	0.157	
5P	0	0	0.05453	0.04129	
6P	0	2.498	0.009417	0.007287	
4D	0	0	0.4739	0.3766	
5D	0	0	0.09434	0.07183	
6D	3.538	0.6007	0.000907	0.0006842	
4F	0	0	0.926	0.5814	
asymmetry					
4S	2	2	2	2	
5S	2	2	2	2	
6S	2	2	2	2	
4P	0	0	1.329	1.492	
5P	0	0	1.687	1.712	
6P	0	1.401	1.721	1.741	
4D	0	0	0.9112	1.081	
5D	0	0	1.295	1.341	
6D	0.8352	1.481	1.335	1.368	
4F	0	0	0.8997	0.9664	
-					
ALUMINIUM	13	Al	191	166	166
2S	0	0	0.01516	0.0102	
3S	0.3431	0.3339	0.001111	0.0007839	
2P	0	0	0.01276	0.007295	
3P	0.08767	0.1245	0.00007834	0.00004549	
asymmetry					
2S	2	2	2	2	
3S	2	2	2	2	
2P	0	0	1.033	0.9535	
3P	-0.2708	0.9895	1.003	0.922	
-					
AMERICIUM	95	Am	84	92	242
4S	0	0	0.06572	0.05219	
5S	0	0	0.02264	0.01691	
6S	0	0	0.004433	0.003301	
4P	0	0	0.2174	0.1772	
5P	0	0	0.06847	0.05274	
6P	0	3.271	0.01105	0.008285	
4D	0	0	0.5275	0.4334	
5D	0	0	0.1232	0.09483	
4F	0	0	1.331	0.8606	
5F	1.448	8.824	0.05816	0.03914	
-					
ANTIMONY	51	Sb	158	99	181
3S	0	0	0.06411	0.04942	
4S	0	0	0.01612	0.01193	
5S	0.04432	0.2018	0.002001	0.001459	
3P	0	0	0.2652	0.201	
4P	0	0	0.05359	0.03915	
5P	2.585	0.2875	0.002198	0.001675	
3D	0	0	0.6116	0.381	
4D	0	0	0.06692	0.04324	
asymmetry					
3S	0	0	2	2	
4S	0	2	2	2	
5S	2	2	2	2	
3P	0	0	1.492	1.564	
4P	0	0	1.695	1.69	
